Data,Produto,Categoria,Quantidade,Tipo,Valor Unitário,Custo,Canal de Venda,Método de Pagamento,Estado,Município
2010-01-01 15:57:36,Computador Lenovo,Computador,2,Venda,10208.56,7496.99,Online,A Vista,MT,Nova Mutum
2010-01-04 09:35:31,Computador Lenovo,Computador,3,Compra,9044.01,4491.92,Loja Física,Cartão de Crédito,GO,Rio Quente
2010-01-04 09:43:37,Notebook Dell,Notebook,1,Venda,2427.47,1487.71,Loja Física,Transferência Bancária,MS,Juti
2010-01-04 10:13:10,Impressora Epson,Impressora,1,Venda,839.06,521.64,Loja Física,Boleto,DF,Brasília
2010-01-04 12:03:09,Impressora Epson,Impressora,4,Venda,776.69,342.24,Distribuidor,Boleto,PB,Várzea
2010-01-04 12:57:10,Monitor Samsung,Monitor,4,Venda,1431.87,1116.01,Loja Física,Boleto,MT,Nova Mutum
2010-01-04 13:43:03,Mouse Razer,Mouse,4,Venda,251.08,118.63,Loja Física,Transferência Bancária,MA,Zé Doca
2010-01-04 13:52:36,Monitor Asus ROG,Monitor,2,Venda,1511.52,1245.25,Distribuidor,Transferência Bancária,MG,Itaú de Minas
2010-01-04 15:42:09,HD Externo Seagate,Armazenamento,2,Compra,120.34,66.53,Online,Transferência Bancária,DF,Brasília
2010-01-04 16:16:09,Notebook Lenovo,Notebook,4,Compra,3259.37,1163.73,Loja Física,Cartão de Crédito,ES,Governador Lindenberg
2010-01-05 09:59:00,Impressora Samsung,Impressora,3,Compra,1206.04,425.94,Loja Física,Cartão de Crédito,PA,Mojuí dos Campos
2010-01-06 09:04:08,Monitor Asus ROG,Monitor,3,Compra,2429.2,1183.04,Loja Física,Transferência Bancária,GO,Rio Quente
2010-01-06 15:49:53,Monitor Asus ROG,Monitor,1,Compra,763.7,554.14,Distribuidor,Cartão de Crédito,RN,Baraúna
2010-01-07 15:50:16,Teclado Logitech,Teclado,5,Venda,947.71,557.19,Loja Física,A Vista,AC,Santa Rosa do Purus
2010-01-08 12:51:28,Monitor AOC,Monitor,5,Compra,1983.3,1058.76,Distribuidor,A Vista,MA,Zé Doca
2010-01-11 10:00:51,Impressora Epson,Impressora,3,Compra,1047.73,399.51,Loja Física,A Vista,PE,Fernando de Noronha
2010-01-11 10:30:57,Mouse C3Teck,Mouse,4,Compra,1150.09,493.73,Loja Física,Cartão de Crédito,ES,Governador Lindenberg
2010-01-11 11:21:31,Mouse Multilaser,Mouse,3,Compra,753.25,496.39,Online,Boleto,PI,Alagoinha do Piauí
2010-01-11 15:27:47,Notebook Asus,Notebook,4,Compra,1709.81,711.49,Online,Boleto,PE,Fernando de Noronha
2010-01-12 12:45:22,Monitor AOC,Monitor,1,Venda,1162.28,731.81,Distribuidor,A Vista,SE,Umbaúba
2010-01-12 16:56:31,Notebook Lenovo,Notebook,2,Venda,1546.08,1014.15,Loja Física,Boleto,TO,Palmas
2010-01-13 13:32:06,HD Externo Adata,Armazenamento,4,Venda,219.3,125.75,Online,Cartão de Crédito,AL,Senador Rui Palmeira
2010-01-14 11:23:42,Notebook Asus,Notebook,3,Compra,3167.99,1780.04,Loja Física,A Vista,SE,Umbaúba
2010-01-14 11:55:42,Notebook Asus,Notebook,5,Venda,3119.12,1765.75,Loja Física,Transferência Bancária,AL,Senador Rui Palmeira
2010-01-14 15:33:59,Mouse Logitech,Mouse,3,Compra,804.25,577.82,Online,A Vista,DF,Brasília
2010-01-15 11:12:08,Mouse Logitech,Mouse,2,Compra,950.31,286.66,Online,Transferência Bancária,ES,Governador Lindenberg
2010-01-15 14:49:20,Computador Lenovo,Computador,2,Venda,10059.4,5707.46,Online,Cartão de Crédito,SP,Vargem Grande Paulista
2010-01-18 12:03:03,Notebook Dell,Notebook,4,Compra,1751.79,1235.42,Loja Física,A Vista,TO,Palmas
2010-01-18 13:12:53,Computador Apple,Computador,3,Venda,4474.46,2517.15,Distribuidor,Cartão de Crédito,CE,Quiterianópolis
2010-01-18 13:40:43,Monitor AOC,Monitor,3,Compra,1258.13,594.76,Online,A Vista,PB,Várzea
2010-01-18 14:20:19,Notebook Dell,Notebook,1,Venda,2645.48,1835.87,Online,Boleto,ES,Governador Lindenberg
2010-01-18 14:58:48,Monitor LG,Monitor,3,Venda,1119.78,902.2,Loja Física,A Vista,SP,Vargem Grande Paulista
2010-01-18 15:25:58,Mouse Redragon,Mouse,3,Venda,329.15,130.59,Distribuidor,Cartão de Crédito,AL,Senador Rui Palmeira
2010-01-20 12:45:43,Monitor Asus ROG,Monitor,1,Compra,1807.43,761.75,Online,A Vista,BA,Jaborandi
2010-01-20 12:47:33,Mouse C3Teck,Mouse,5,Venda,329.93,102.8,Distribuidor,Transferência Bancária,MS,Juti
2010-01-21 09:33:00,Mouse Redragon,Mouse,2,Compra,636.01,217.51,Loja Física,Cartão de Crédito,AL,Senador Rui Palmeira
2010-01-21 10:34:59,Mouse Logitech,Mouse,4,Venda,670.13,222.38,Distribuidor,Transferência Bancária,SC,Tunápolis
2010-01-22 09:31:12,Computador Lenovo,Computador,5,Venda,7570.51,5363.21,Loja Física,Boleto,RR,São Luiz
2010-01-22 11:22:49,Impressora Brother,Impressora,1,Venda,502.35,198.43,Distribuidor,A Vista,AP,Pracuúba
2010-01-22 13:07:50,Impressora Brother,Impressora,4,Compra,950.78,636.61,Distribuidor,Cartão de Crédito,BA,Jaborandi
2010-01-22 13:25:49,HD Externo Adata,Armazenamento,4,Compra,249.95,164.26,Online,A Vista,ES,Governador Lindenberg
2010-01-22 15:26:48,Impressora Epson,Impressora,2,Compra,767.09,590.38,Loja Física,Transferência Bancária,PB,Várzea
2010-01-22 15:44:48,Impressora Brother,Impressora,2,Venda,1724.61,646.77,Online,Transferência Bancária,DF,Brasília
2010-01-25 09:36:00,Monitor Asus ROG,Monitor,3,Venda,941.39,539.21,Online,Cartão de Crédito,ES,Governador Lindenberg
2010-01-25 10:24:34,Mouse C3Teck,Mouse,1,Venda,371.46,190.78,Distribuidor,A Vista,PA,Mojuí dos Campos
2010-01-25 10:28:02,Monitor Dell,Monitor,2,Venda,598.72,270.99,Distribuidor,Cartão de Crédito,GO,Rio Quente
2010-01-25 10:32:01,Mouse Logitech,Mouse,3,Venda,537.31,215.9,Loja Física,A Vista,SE,Umbaúba
2010-01-25 11:28:13,Monitor Asus ROG,Monitor,1,Venda,1666.57,1080.14,Loja Física,Boleto,RN,Baraúna
2010-01-25 11:45:18,HD Externo SanDisk,Armazenamento,5,Compra,287.89,193.24,Online,Transferência Bancária,TO,Palmas
2010-01-25 12:32:32,HD Externo Western Digital,Armazenamento,3,Compra,263.21,92.37,Online,Cartão de Crédito,MA,Zé Doca
2010-01-25 12:52:58,Monitor BenQ,Monitor,2,Venda,950.4,352.63,Online,Cartão de Crédito,MG,Itaú de Minas
2010-01-25 14:29:56,Impressora Samsung,Impressora,4,Compra,617.24,225.54,Distribuidor,Boleto,AM,Tonantins
2010-01-25 14:47:32,Teclado Logitech,Teclado,5,Venda,356.67,138.5,Online,Transferência Bancária,SP,Vargem Grande Paulista
2010-01-25 16:16:23,Notebook Lenovo,Notebook,4,Compra,1639.36,1345.08,Loja Física,Transferência Bancária,PB,Várzea
2010-01-26 10:55:52,Mouse C3Teck,Mouse,1,Compra,412.74,175.17,Online,Cartão de Crédito,RJ,São José do Vale do Rio Preto
2010-01-26 14:07:06,Computador Apple,Computador,2,Compra,9890.28,5872.06,Online,Cartão de Crédito,MT,Nova Mutum
2010-01-27 11:05:58,Impressora HP,Impressora,2,Compra,978.43,467.83,Online,Transferência Bancária,PR,Fazenda Rio Grande
2010-01-27 16:15:50,Teclado Microsoft,Teclado,1,Venda,630.04,451.13,Online,Boleto,MS,Juti
2010-01-28 09:41:04,Mouse Razer,Mouse,1,Compra,941.07,513.57,Online,Transferência Bancária,RN,Baraúna
2010-01-28 16:43:03,Notebook Acer,Notebook,5,Compra,1828.26,727.14,Distribuidor,Cartão de Crédito,MT,Nova Mutum
2010-01-28 16:59:16,Computador Dell,Computador,3,Venda,9258.26,7175.19,Online,Boleto,PR,Fazenda Rio Grande
2010-01-29 09:51:07,Monitor Asus ROG,Monitor,1,Compra,651.89,364.62,Distribuidor,A Vista,RJ,São José do Vale do Rio Preto
2010-01-29 10:48:15,HD Externo SanDisk,Armazenamento,4,Compra,399.46,251.26,Distribuidor,A Vista,RN,Baraúna
2010-02-01 09:44:02,Mouse Logitech,Mouse,3,Venda,915.77,308.14,Loja Física,Transferência Bancária,PB,Várzea
2010-02-01 09:50:01,HD Externo Western Digital,Armazenamento,5,Venda,610.3,313.25,Online,Boleto,SE,Umbaúba
2010-02-01 10:28:01,Computador HP,Computador,5,Compra,11954.38,6092.96,Online,Cartão de Crédito,RJ,São José do Vale do Rio Preto
2010-02-01 11:24:00,Impressora HP,Impressora,5,Compra,702.64,243.14,Loja Física,Cartão de Crédito,PA,Mojuí dos Campos
2010-02-01 12:50:52,Teclado Microsoft,Teclado,4,Compra,695.26,491.63,Online,Cartão de Crédito,DF,Brasília
2010-02-01 14:44:09,Teclado Radragon,Teclado,1,Compra,503.98,233.81,Distribuidor,A Vista,TO,Palmas
2010-02-01 16:44:47,Monitor LG,Monitor,5,Compra,2367.34,909.87,Distribuidor,Cartão de Crédito,RO,Corumbiara
2010-02-01 16:48:02,Impressora Brother,Impressora,5,Compra,1355.72,1100.7,Loja Física,Cartão de Crédito,RO,Corumbiara
2010-02-02 12:56:49,Monitor Dell,Monitor,5,Compra,1989.93,636.0,Online,Cartão de Crédito,AC,Santa Rosa do Purus
2010-02-03 10:10:52,Teclado Corsair,Teclado,3,Compra,508.56,379.56,Online,Cartão de Crédito,AC,Santa Rosa do Purus
2010-02-03 11:33:15,HD Externo Western Digital,Armazenamento,5,Compra,439.28,346.9,Online,Transferência Bancária,TO,Palmas
2010-02-04 09:08:46,Notebook Asus,Notebook,3,Venda,1042.61,630.36,Loja Física,Cartão de Crédito,RJ,São José do Vale do Rio Preto
2010-02-04 10:52:03,Teclado Corsair,Teclado,1,Venda,1064.84,815.1,Online,Boleto,RS,Jóia
2010-02-04 12:20:44,Impressora HP,Impressora,1,Venda,1287.69,959.49,Loja Física,Cartão de Crédito,PB,Várzea
2010-02-04 12:39:49,HD Externo Adata,Armazenamento,3,Venda,325.87,273.86,Loja Física,Cartão de Crédito,CE,Quiterianópolis
2010-02-04 15:19:47,Teclado Radragon,Teclado,5,Venda,642.41,204.47,Distribuidor,Cartão de Crédito,PI,Alagoinha do Piauí
2010-02-04 16:58:22,Computador Lenovo,Computador,3,Compra,11977.71,9861.51,Online,Transferência Bancária,TO,Palmas
2010-02-05 09:58:23,Monitor AOC,Monitor,3,Venda,512.03,181.92,Loja Física,Cartão de Crédito,SP,Vargem Grande Paulista
2010-02-05 14:58:18,Impressora Brother,Impressora,3,Venda,917.08,394.16,Distribuidor,A Vista,BA,Jaborandi
2010-02-08 12:55:06,Impressora Samsung,Impressora,5,Venda,1676.24,1060.9,Loja Física,Cartão de Crédito,TO,Palmas
